GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobNumber,JobIncomeCategory
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.20983124706469347,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,0.18415103260953475,0,3,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-0.35777293775850977,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-0.6248807894400176,2019,2023,Melanjutkan pengajian (SKPG 2.0),-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.34392667921635717,1,6,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),-1.5597582703252946,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.7774354318878967,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.7774354318878967,2019,2023,52,Pekerja Sokongan Perkeranian,5,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,2,Band 4,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.7106584689675197,2019,2023,Melanjutkan pengajian (SKPG 2.0),-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,0.042888839763750373,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,0.7122287444354267,0,5,Band 2,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,-0.49132686359926364,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,-1.1924849742632209,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,2,Band 4,BACELOR KEJURUTERAAN PERISIAN,1.278262653790723,2019,2023,52,Profesional,3,2,Pertama,2
2023,FSKTM,Fac1,1,-0.34392667921635717,1,6,Band 3,BACELOR KEJURUTERAAN PERISIAN,1.211485690870346,2019,2023,52,Profesional,3,2,Ke- 2,2
2023,FSKTM,Fac1,1,-0.34392667921635717,0,11,Band 5,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),1.378428098171289,2019,2023,52,Profesional,3,2,Pertama,2
